timestamp,client,demand_id,etapa,session_id,model,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,cost_usd,duration_ms,num_turns,is_error
2026-09-07T17:49:59.182910+00:00,acxya,ACXYA-1,design,7d1be8e1-7365-4eab-9a63-8d169bb16ea9,claude-haiku-4-5-20251001,1001,17,0,0,0.001086,901301,13,False
2026-09-07T17:49:59.182910+00:00,acxya,ACXYA-1,design,7d1be8e1-7365-4eab-9a63-8d169bb16ea9,claude-opus-5[1m],92,58948,1598223,156433,3.2509777500000006,901301,13,False
2026-09-07T21:25:36.417762+00:00,acxya,ACXYA-1,build,29432bd1-952b-4313-a0e7-968892bd7df9,claude-haiku-4-5-20251001,1001,19,0,0,0.001096,855412,24,False
2026-09-07T21:25:36.417762+00:00,acxya,ACXYA-1,build,29432bd1-952b-4313-a0e7-968892bd7df9,claude-opus-5[1m],32,10064,485619,73243,0.95233825,855412,24,False
2026-09-07T21:25:36.417762+00:00,acxya,ACXYA-1,build,29432bd1-952b-4313-a0e7-968892bd7df9,claude-sonnet-5,104,55010,5566516,173006,2.096126199999999,855412,24,False
2026-09-07T21:37:41.706582+00:00,acxya,ACXYA-1,qa,eb4e94fc-d392-427f-8a51-9bcf83f573b6,claude-haiku-4-5-20251001,1001,18,0,0,0.001091,421440,23,False
2026-09-07T21:37:41.706582+00:00,acxya,ACXYA-1,qa,eb4e94fc-d392-427f-8a51-9bcf83f573b6,claude-opus-5[1m],36,13161,772541,60108,1.0911505000000001,421440,23,False
2026-09-07T21:37:41.706582+00:00,acxya,ACXYA-1,qa,eb4e94fc-d392-427f-8a51-9bcf83f573b6,claude-sonnet-5,30,17579,846754,83000,0.5527008,421440,23,False
2026-09-07T22:32:39.559935+00:00,acxya,ACXYA-1,release,4d658e89-7c55-4d28-9ba6-c3bbc7c67654,claude-haiku-4-5-20251001,1001,19,0,0,0.001096,980524,25,False
2026-09-07T22:32:39.559935+00:00,acxya,ACXYA-1,release,4d658e89-7c55-4d28-9ba6-c3bbc7c67654,claude-opus-5[1m],40,16397,964203,126143,1.6806202499999998,980524,25,False
2026-09-07T22:32:39.559935+00:00,acxya,ACXYA-1,release,4d658e89-7c55-4d28-9ba6-c3bbc7c67654,claude-sonnet-5,158,50410,5072508,180287,1.9696351000000003,980524,25,False
2026-09-07T22:57:47.820662+00:00,acxya,ACXYA-1,release,cb03f220-e9ba-4f99-857b-a18a75d6c9f6,claude-haiku-4-5-20251001,1091,11800,367046,74501,0.18992185,334698,25,False
2026-09-07T22:57:47.820662+00:00,acxya,ACXYA-1,release,cb03f220-e9ba-4f99-857b-a18a75d6c9f6,claude-opus-5[1m],32,13986,806835,71862,1.202365,334698,25,False
